OTU	DNA70a_100x_4	DNA70a_100x_8	DNA70a_100x_12	DNA70a_10x_4	DNA70a_10x_8	DNA70a_10x_12	DNA70a_1x_4	DNA70a_1x_8	DNA70a_1x_12	DNA80a_100x_4	DNA80a_100x_8	DNA80a_100x_12	DNA80a_10x_4	DNA80a_10x_8	DNA80a_10x_12	DNA80a_1x_4	DNA80a_1x_8	DNA80a_1x_12	BLANK	SED70a_1x_4	SED70a_1x_8	SED70a_1x_12	SED70b_1x_4	SED70b_1x_8	SED70b_1x_12	SED70c_1x_4	SED70c_1x_8	SED70c_1x_12	SED80a_1x_4	SED80a_1x_8	SED80a_1x_12	SED80b_1x_4	SED80b_1x_8	SED80b_1x_12	SED80c_1x_4	SED80c_1x_8	SED80c_1x_12	SEDNoStora_1x_0	SEDNoStorb_1x_0	SEDNoStorc_1x_0	DNANoStora_1x_0	DNANoStora_10x_0	DNANoStora_100x_0	DNANoStorb_1x_0	DNANoStorb_10x_0	DNANoStorb_100x_0	DNANoStorc_1x_0	DNANoStorc_10x_0	DNANoStorc_100x_0
OTU_1	2397	1974	1975	1093	1593	1033	1213	1072	1085	3228	1139	2858	1710	998	2953	1322	985	1765	0	800	915	812	974	901	855	894	1028	665	782	1112	489	864	1008	653	668	1057	589	534	575	618	481	0	483	356	435	1242	586	330	0
OTU_2	15633	23683	18510	21847	22434	14411	14740	17352	15857	17922	17480	25478	17862	19782	18497	11277	14774	14280	0	11701	14722	10670	11957	12221	11442	12873	12668	15287	11096	14956	10058	12393	13375	11627	8708	12783	10390	2988	3541	3504	6229	1	7416	5408	7697	10497	8144	9867	11631
OTU_3	3848	9440	7450	6050	7133	1087	3375	4266	3590	6961	6486	6972	5399	5465	8517	2174	3767	2918	0	1492	2063	1265	1676	1636	1303	1828	1920	2034	1520	2006	1303	1683	1958	1433	1074	1684	1231	997	826	899	1386	0	1926	894	1954	1968	1609	2600	3163
OTU_4	4978	5333	9090	2546	3734	2691	1472	2041	1338	4130	1554	3500	2077	2952	1144	868	1700	1196	0	1029	1627	711	1069	1102	786	997	1509	1017	1028	1412	711	993	1531	813	734	1274	820	416	451	565	463	0	1089	376	849	1585	856	1505	3401
OTU_5	2762	3600	2349	1533	2370	1257	907	1223	975	2983	1808	2984	1457	2010	1917	671	1300	966	1	1599	3096	1703	1789	2411	1750	1878	2720	2173	1495	3098	1623	1859	2977	1641	1259	2738	1491	269	413	441	312	0	937	381	1118	2029	785	1657	1717
OTU_6	11302	14234	9054	13189	16423	10343	8747	10916	11027	13066	11256	15692	9559	13703	19307	5425	10256	8277	0	6613	9335	6981	7540	8986	7380	7278	10925	9408	6734	11326	6437	7147	10352	6453	5224	8811	6447	2188	2606	2446	4250	0	5720	3543	7168	9028	5850	7030	4166
OTU_7	27318	34234	21322	28140	38701	4550	22010	31071	24936	27382	20107	34887	23009	32881	30068	12784	26586	16745	2	16509	19217	14998	17674	17832	16516	17597	19940	18959	16797	21600	13195	18408	19296	15537	13251	18397	13513	6039	6718	6370	11316	0	13402	8719	13062	20837	12780	14718	13046
OTU_8	0	728	1324	818	1043	1056	614	692	565	2	1524	1004	1129	786	1768	954	613	1224	0	735	978	531	843	860	568	1056	991	676	689	891	571	800	980	533	499	940	496	167	267	288	174	0	685	217	560	1114	560	269	0
OTU_9	1037	1193	837	101	89	52	5	8	0	1135	1951	89	77	114	2112	0	2	1	24749	4	1	0	1	1	0	0	3	2	2	1	0	6	0	3	0	2	0	1	1	0	1	0	9	0	23	348	51	125	1754
OTU_10	459	3463	704	951	1178	641	393	609	489	1231	802	1072	700	995	667	180	544	325	0	695	1406	1135	904	1359	1043	968	1906	1284	602	1446	783	933	1601	890	572	1239	800	178	336	330	191	0	587	260	833	1299	521	1024	1306
OTU_11	1350	271	646	1282	1120	637	649	622	457	2188	833	1116	1084	794	3819	680	563	557	0	426	408	292	437	274	235	474	371	282	380	395	228	452	434	278	264	332	252	132	163	182	192	0	395	166	431	1095	329	511	1361
OTU_12	996	2696	1058	709	1207	656	365	527	412	1373	1295	1204	704	897	2267	299	513	429	0	352	701	405	484	599	377	471	577	559	383	793	391	393	752	373	260	662	351	118	154	173	174	0	284	132	393	1479	294	456	326
OTU_13	1449	1063	1071	583	1057	775	279	751	400	1180	1489	1093	814	1398	528	215	545	287	0	1092	1993	1404	1381	1974	1582	1782	2483	1005	1402	2342	761	1752	2287	1063	1105	2118	756	175	397	416	136	0	646	243	707	1236	564	1087	1327
OTU_14	287	337	235	238	328	161	131	125	119	481	254	793	255	182	1109	232	157	123	0	444	1002	786	1149	1378	945	1161	1937	414	844	2136	227	1071	1214	341	575	1753	347	30	164	145	12	0	85	39	84	248	109	249	217
OTU_15	0	2242	369	272	306	410	216	269	179	636	450	1339	403	432	1	264	236	494	1	240	436	260	301	357	210	404	416	296	283	379	202	325	411	196	209	399	186	45	94	92	78	0	154	79	250	0	155	321	1531
OTU_16	566	2173	733	841	837	484	378	468	407	1754	951	889	501	786	719	183	501	251	0	200	329	197	237	277	238	236	403	321	242	397	203	208	354	232	139	284	221	141	136	132	164	0	172	115	241	0	208	278	0
OTU_17	670	995	1198	160	420	226	396	311	406	321	375	841	539	327	1234	374	381	274	0	253	185	166	404	214	295	395	353	221	299	391	93	374	316	121	81	369	240	531	561	545	176	0	136	114	115	401	159	293	0
OTU_18	1610	1390	1932	98	54	12	2	6	2	1717	1633	65	50	99	1658	2	9	2	16892	2	1	1	1	1	0	2	0	0	3	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	27	0	0
OTU_19	341	768	946	546	498	197	185	361	264	263	294	757	330	525	700	124	264	147	0	351	528	379	378	445	432	480	685	474	387	638	270	429	510	388	245	407	307	110	158	137	95	0	198	103	273	0	158	310	374
OTU_20	2055	672	70	76	6	0	0	1	2	380	182	0	62	29	1504	0	2	0	8402	1	2	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	34	57	12	1	0
OTU_21	1761	1801	402	424	550	306	108	172	132	262	373	265	251	150	444	92	173	96	1	153	250	137	155	195	147	161	321	172	115	259	147	165	256	167	84	189	145	41	63	83	66	0	154	59	220	0	127	141	0
OTU_22	2054	2	0	265	478	161	158	244	175	578	986	933	128	431	0	165	186	243	0	90	140	69	139	117	86	120	160	100	66	110	60	135	143	66	67	112	48	54	53	71	56	0	114	46	161	67	62	260	1196
OTU_23	1248	2082	154	461	514	197	313	406	390	731	149	1126	561	587	1103	217	462	309	0	169	213	133	204	175	139	199	235	306	133	231	130	168	201	154	73	183	174	175	112	140	135	0	160	61	226	234	141	158	0
OTU_24	275	197	185	0	15	41	1	1	1	510	81	43	24	42	0	0	1	0	7014	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	9	378	11	38	190
OTU_25	897	1487	715	44	80	51	0	3	1	879	225	6	42	25	1154	2	0	1	4911	0	2	1	3	2	0	1	0	0	1	1	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	13	0	0
OTU_26	330	482	1	225	498	300	152	203	189	0	734	579	293	371	825	124	156	224	0	72	92	75	68	98	81	85	93	116	59	113	43	81	103	69	48	95	72	59	46	58	59	0	118	41	122	242	86	359	857
OTU_27	507	465	857	329	324	238	110	145	116	877	562	719	247	125	0	42	180	58	1	135	324	167	171	247	133	152	285	192	114	332	92	125	339	117	92	295	108	57	66	75	25	0	59	27	71	659	72	132	0
OTU_28	730	451	339	47	18	9	0	3	0	383	146	70	14	51	583	0	1	1	5695	1	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	3	1	2	239	7	64	811
OTU_29	0	0	0	344	260	217	112	153	92	1	0	277	122	176	324	105	101	135	0	190	316	191	141	342	269	226	438	259	222	338	142	211	349	200	166	288	136	13	24	31	24	0	205	34	175	185	147	333	485
OTU_30	1	403	609	151	315	270	102	111	114	0	0	418	148	178	0	142	78	166	0	94	118	93	127	101	101	93	118	84	100	121	29	131	116	66	65	133	47	95	65	64	38	0	85	43	47	0	29	34	293
OTU_31	249	262	1	9	0	0	0	3	0	0	141	0	12	2	427	0	0	0	7323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	11	0	0	0	194
OTU_32	0	564	365	82	183	137	168	108	106	834	162	464	265	116	431	135	148	140	0	89	91	62	85	95	77	97	138	78	75	139	39	92	96	64	51	134	43	61	55	49	54	0	57	29	50	0	58	36	0
OTU_33	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_34	1185	0	1365	114	93	407	60	78	83	0	0	522	268	455	0	55	85	106	0	40	92	32	70	70	30	62	82	41	36	74	49	42	96	69	37	113	44	29	22	30	11	0	66	11	17	0	82	134	0
OTU_35	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_36	297	0	1274	141	254	184	65	89	87	2	79	191	147	149	0	32	106	49	0	63	164	99	100	136	87	99	208	124	74	184	62	105	149	80	55	138	69	37	36	63	24	0	108	21	102	0	57	124	0
OTU_37	420	379	0	299	302	65	105	137	95	293	277	309	172	273	2	33	158	48	0	84	158	70	96	86	60	89	116	129	65	134	83	74	142	70	39	122	72	37	46	63	26	0	61	15	68	0	56	257	0
OTU_38	0	0	0	16	0	0	0	0	0	0	138	0	0	1	0	1	0	0	4685	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_39	0	1102	0	288	342	65	107	205	118	0	0	424	145	218	542	26	144	60	0	40	96	59	62	64	42	63	80	64	50	97	35	54	98	34	25	62	46	59	61	65	31	0	64	40	124	0	72	133	0
OTU_40	69	283	312	295	244	70	95	140	153	207	96	668	262	294	0	120	170	94	0	34	69	47	70	70	47	77	107	69	49	136	57	54	57	46	29	65	65	85	63	101	51	0	36	22	39	166	49	0	126
OTU_41	229	0	0	291	163	120	63	86	66	588	0	250	183	182	726	46	55	45	0	28	34	79	37	27	69	30	55	104	29	44	63	32	51	59	29	30	85	18	13	16	37	0	69	28	78	456	47	97	534
OTU_42	27	0	72	122	103	23	100	123	88	0	0	392	258	106	746	97	74	125	0	76	62	72	81	94	82	103	126	53	80	115	31	64	96	31	49	101	64	54	54	75	31	0	47	19	9	0	48	20	0
OTU_43	703	0	563	67	18	30	1	3	1	493	462	0	67	11	1003	3	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	12	0	0	0	7	81	0
OTU_44	0	235	0	122	140	110	48	62	37	264	282	330	112	57	0	72	71	56	0	115	188	121	163	205	137	170	259	86	134	353	47	175	224	58	86	252	59	12	41	28	10	0	53	20	49	0	51	75	0
OTU_45	403	482	0	99	252	61	44	80	29	0	253	37	29	84	522	41	49	40	0	69	171	83	108	160	92	116	225	50	90	204	39	126	190	49	84	145	49	21	32	31	15	0	47	21	27	141	38	84	0
OTU_46	554	185	0	156	181	134	180	115	113	2	0	328	283	252	1	155	135	224	0	97	130	134	110	124	123	101	170	119	97	139	50	97	136	88	64	148	75	57	58	85	66	0	99	25	53	187	77	18	625
OTU_47	291	395	0	128	313	67	82	114	98	0	328	228	33	163	353	34	134	55	0	43	92	34	40	75	45	52	82	66	50	63	43	43	76	57	35	78	47	45	39	50	45	0	99	32	53	262	48	195	0
OTU_48	0	0	0	192	159	208	96	95	75	449	343	221	210	160	0	78	75	107	0	40	71	25	45	51	29	46	48	51	37	52	31	34	53	36	21	36	24	20	9	15	35	0	63	25	84	180	29	62	0
OTU_49	179	400	106	46	297	227	37	71	66	0	244	472	48	228	0	36	73	39	0	25	38	14	13	30	15	27	38	32	9	38	24	25	35	31	10	23	18	12	11	13	18	0	39	18	29	0	38	53	716
OTU_50	775	0	304	35	60	0	28	58	31	576	0	205	88	85	0	40	60	44	0	35	69	30	45	55	42	65	76	46	45	77	46	48	62	32	35	52	43	3	6	25	8	0	60	19	56	0	37	199	0
OTU_51	0	238	374	0	0	0	0	0	0	145	110	0	0	1	0	0	0	0	2751	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	61	1	26	0
OTU_52	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53	749	357	0	183	28	52	21	57	49	298	338	157	69	72	393	9	75	17	0	25	27	15	23	27	11	6	36	15	10	25	18	17	39	10	12	20	9	20	8	17	13	0	19	4	20	228	17	0	0
OTU_54	1	2	0	24	217	33	54	65	83	0	309	105	42	87	0	51	48	78	0	51	87	18	45	44	44	56	77	31	48	62	21	42	80	34	34	66	29	27	28	36	30	0	16	17	34	0	44	67	0
OTU_55	0	223	640	39	40	34	15	26	16	301	0	56	31	0	0	19	22	11	0	42	86	42	78	77	52	85	140	29	58	151	12	72	109	20	29	142	20	5	21	19	5	0	27	12	28	0	19	0	245
OTU_56	1351	0	0	36	10	33	5	21	12	0	510	0	0	20	0	1	8	11	0	8	24	7	21	8	10	22	13	23	12	17	7	12	25	8	4	18	2	5	4	9	2	0	42	2	0	0	6	0	0
OTU_58	0	353	0	114	93	95	9	23	12	0	0	101	94	12	400	10	25	6	0	25	78	59	36	84	62	43	134	35	23	118	28	41	118	35	11	86	24	18	26	32	6	0	33	7	73	0	21	41	0
OTU_59	643	0	0	0	9	26	0	0	0	749	0	37	6	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	3	94	1	40	0
OTU_60	665	0	0	111	55	75	14	45	21	1	0	160	22	139	0	33	38	22	0	14	25	9	17	26	8	15	41	16	14	26	7	15	29	4	11	12	3	6	9	10	6	0	15	8	15	0	12	55	0
